Process ID,Process Name,Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%),Anomaly
7276,RtkAudUService64.exe,1715697844026745.0,0.0,0.03479160049357555,0,0
7284,SmartByteAnalyticsService.exe,1715697844026745.0,0.0,0.007559177823116693,0,0
7292,svchost.exe,1715697844026745.0,0.0,0.016887009431770305,0,0
7300,sqlbrowser.exe,1715697844026745.0,0.0,0.007438037152874438,0,0
7308,sqlwriter.exe,1715697844026745.0,0.0,0.04571848894942692,0,0
7344,TbtP2pShortcutService.exe,1715697844026745.0,0.0,0.0069050182038085176,0,0
7476,vmware-authd.exe,1715697844026745.0,0.0,0.011847557549692508,0,0
7492,vmnetdhcp.exe,1715697844026745.0,0.0,0.005184820686368501,0,0
7528,vmnat.exe,1715697844026745.0,0.0,0.019043313362082436,0,0
7556,MsMpEng.exe,1715697844026745.0,0.0,2.1041892139739153,0,0
7564,WavesAudioService.exe,1715697844026745.0,0.0,0.027402019608798008,0,0
7604,WMIRegistrationService.exe,1715697844026745.0,0.0,0.010296956970591648,0,0
7616,svchost.exe,1715697844026745.0,0.0,0.0761974815823782,0,0
7656,wslservice.exe,1715697844026745.0,0.0,0.04113937161426969,0,0
7820,msedgewebview2.exe,1715697844026745.0,0.0,0.03767474844534121,75.83411502838135,0
8176,conhost.exe,1715697844026745.0,0.0,0.006735421265469361,0,0
8196,conhost.exe,1715697844026745.0,0.0,0.006153946048306538,0,0
8332,svchost.exe,1715697844026745.0,0.0,0.0958464982956719,0,0
8580,RAPSService.exe,1715697844026745.0,0.0,0.018219556804435103,0,0
8860,chrome.exe,1715697844026745.0,0.0,0.14292176275181206,41.0379695892334,0
8888,chrome.exe,1715697844026745.0,0.0,0.08748779204895633,39.355170249938965,0
8988,msedge.exe,1715697844026745.0,0.0,0.016184393544365225,1.2880859375,0
9048,Dell.TechHub.Instrumentation.UserProcess.exe,1715697844026745.0,0.0,0.17965161396926368,0,0
9164,svchost.exe,1715697844026745.0,0.0,0.07193332998985083,0,0
9172,WsaClient.exe,1715697844026745.0,0.0,0.06497985551794541,0,0
9192,RAPS.exe,1715697844026745.0,0.0,0.0708188358236221,0,0
9340,msedgewebview2.exe,1715697844026745.0,0.0,0.030212483158418322,77.4865198135376,0
9368,conhost.exe,1715697844026745.0,0.0,0.06832333801663165,0.00390625,0
9380,Code.exe,1715697844026745.0,0.0,0.10091017831179816,11.233610153198242,0
9396,servicehost.exe,1715697844026745.0,0.0,0.19099038070393876,0,0
9472,Code.exe,1715697844026745.0,0.0,0.1944792320069157,30.19043254852295,0
9520,Obsidian.exe,1715697844026745.0,0.0,0.07161836424722098,41.08993339538574,0
9660,cmd.exe,1715697844026745.0,0.0,0.02272598973744698,0.12548828125,0
9664,conhost.exe,1715697844026745.0,0.0,0.024446187254886998,0.00390625,0
9772,svchost.exe,1715697844026745.0,0.0,0.03256261216111806,0,0
